Año,Mes,Nacionalidad,Femenino,Masculino,Indefinido,Total
2012,Enero,Islas Alboran y Perejil,1,0,0,1
2012,Enero,Albania,1,2,0,3
2012,Enero,Alemania,1396,2439,0,3835
2012,Enero,Andorra,6,11,0,17
2012,Enero,Angola,1,1,0,2
2012,Enero,Antigua y Barbuda,1,1,0,2
2012,Enero,Países Bajos,798,1418,0,2216
2012,Enero,Argelia,3,4,0,7
2012,Enero,Argentina,5696,6082,0,11778
2012,Enero,Aruba,0,2,0,2
2012,Enero,Australia,379,678,0,1057
2012,Enero,Austria,151,328,0,479
2012,Enero,Azerbaiyán,1,2,0,3
2012,Enero,Bahamas,2,5,0,7
2012,Enero,Bahréin,0,1,0,1
2012,Enero,Bangladesh,0,1,0,1
2012,Enero,Barbados,3,3,0,6
2012,Enero,República de Belarús,5,5,0,10
2012,Enero,Bélgica,172,380,0,552
2012,Enero,Belice,9,11,0,20
2012,Enero,Bermudas/Territorio Británico de Ultramar,0,2,0,2
2012,Enero,Bolivia,404,512,0,916
2012,Enero,Bosnia y Herzegovina,0,1,0,1
2012,Enero,Botsuana,0,1,0,1
2012,Enero,Brasil,4231,5579,0,9810
2012,Enero,Bulgaria,8,13,0,21
2012,Enero,Burkina Faso,1,0,0,1
2012,Enero,Islas Caimán/Territorio Británico de Ultramar,2,8,0,10
2012,Enero,Camerún,1,2,0,3
2012,Enero,Canadá,2785,3644,0,6429
2012,Enero,Chad,0,2,0,2
2012,Enero,España,2381,5165,0,7546
2012,Enero,República Democrática del Congo,0,3,0,3
2012,Enero,República de Corea,145,344,0,489
2012,Enero,Costa de Marfil,1,1,0,2
2012,Enero,Costa Rica,960,1107,0,2067
2012,Enero,Croacia,11,18,0,29
2012,Enero,Cuba,172,282,0,454
2012,Enero,Curazao,1,1,0,2
2012,Enero,República Checa,54,82,0,136
2012,Enero,Chile,2251,3278,0,5529
2012,Enero,China,113,264,0,377
2012,Enero,Chipre,1,2,0,3
2012,Enero,Dinamarca,72,171,0,243
2012,Enero,Dominica,1,5,0,6
2012,Enero,Ecuador,3068,4894,0,7962
2012,Enero,Egipto,0,9,0,9
2012,Enero,El Salvador,373,554,0,927
2012,Enero,Eslovaquia,16,37,0,53
2012,Enero,Eslovenia,35,43,0,78
2012,Enero,Estados Unidos de América,6889,14798,0,21687
2012,Enero,Estonia,10,14,0,24
2012,Enero,Etiopia,0,2,0,2
2012,Enero,Filipinas,28,146,0,174
2012,Enero,Finlandia,270,289,0,559
2012,Enero,Francia,1319,2117,0,3436
2012,Enero,Gabón,0,1,0,1
2012,Enero,Georgia,1,0,0,1
2012,Enero,Ghana,0,5,0,5
2012,Enero,Granada,0,1,0,1
2012,Enero,Grecia,13,97,0,110
2012,Enero,Guatemala,209,405,0,614
2012,Enero,Guyana,3,2,0,5
2012,Enero,Guinea,1,0,0,1
2012,Enero,Guinea Ecuatorial,0,1,0,1
2012,Enero,Guayana Francesa/Departamento de Ultramar Francés,0,1,0,1
2012,Enero,Haití,7,24,0,31
2012,Enero,Honduras,127,219,0,346
2012,Enero,Hungría,43,59,0,102
2012,Enero,India,41,239,0,280
2012,Enero,Indonesia,17,16,0,33
2012,Enero,Irán,3,14,0,17
2012,Enero,República de Irlanda,63,162,0,225
2012,Enero,Islandia,9,6,0,15
2012,Enero,Isla de Man,88,206,0,294
2012,Enero,Isla Johnston,0,2,0,2
2012,Enero,Israel,99,459,0,558
2012,Enero,Islas Aland/Provincia de Finlandia,1,0,0,1
2012,Enero,Isla Wake,0,1,0,1
2012,Enero,Italia,726,2431,0,3157
2012,Enero,Islas del Canal,0,1,0,1
2012,Enero,Jamaica,22,24,0,46
2012,Enero,Islas Marianas del Norte,0,1,0,1
2012,Enero,Japón,150,493,0,643
2012,Enero,Jordania,1,1,0,2
2012,Enero,Kazajistán,1,1,0,2
2012,Enero,Kenia,7,14,0,21
2012,Enero,Kuwait,0,1,0,1
2012,Enero,Letonia,13,10,0,23
2012,Enero,Lituania,7,12,0,19
2012,Enero,Líbano,14,39,0,53
2012,Enero,Libia,0,1,0,1
2012,Enero,Liechtenstein,1,4,0,5
2012,Enero,Luxemburgo,1,9,0,10
2012,Enero,Macedonia,0,1,0,1
